id,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1,white,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6
2,white,6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6
3,white,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6
4,white,7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6
5,white,7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6
6,white,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6
7,white,6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,6
8,white,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6
9,white,6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6
10,white,8.1,0.22,0.43,1.5,0.044,28,129,0.9938,3.22,0.45,11,6
11,white,8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5
12,white,8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5
13,white,7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5
14,white,6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,7
15,white,8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,5
16,white,6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,7
17,white,6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,6
18,white,,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8
19,white,7.4,0.34,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,6
20,white,6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,5
21,white,6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8
22,white,6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,7
23,white,6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,8
24,white,7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5
25,white,6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10,6
26,white,7,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,6
27,white,6.9,0.24,0.35,1,0.052,35,146,0.993,3.45,0.44,10,6
28,white,7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6
29,white,7.4,0.27,0.48,1.1,0.047,17,132,0.9914,3.19,0.49,11.6,6
30,white,7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,7
31,white,8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,6
32,white,8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,6
33,white,7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,6
34,white,6.2,0.12,0.34,,0.045,43,117,0.9939,3.42,0.51,9,6
35,white,5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,5
36,white,7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,5
37,white,6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,5
38,white,7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,6
39,white,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5
40,white,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5
41,white,6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,6
42,white,6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,6
43,white,7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6
44,white,6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,6
45,white,6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6
46,white,7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,7
47,white,6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,4
48,white,6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,5
49,white,7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6
50,white,6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,5
51,white,7.2,0.19,0.31,1.6,0.062,31,173,0.9917,3.35,0.44,11.7,6
52,white,6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,7
53,white,6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,7
54,white,6.4,0.18,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,6
55,white,6.8,0.2,0.59,0.9,0.147,38,132,0.993,,0.38,9.1,6
56,white,6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,6
57,white,7.2,0.21,0.34,11.9,0.043,37,213,0.9962,3.09,0.5,9.6,6
58,white,6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6
59,white,6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6
60,white,7.4,0.2,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,6
61,white,6.8,0.22,0.24,4.9,0.092,30,123,0.9951,3.03,0.46,8.6,6
62,white,6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6
63,white,7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,5
64,white,6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6
65,white,7.2,0.24,0.27,1.4,0.038,31,122,0.9927,3.15,0.46,10.3,6
66,white,6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1,5
67,white,6.4,0.26,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6,7
68,white,6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,5
69,white,6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8
70,white,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5
71,white,6.2,0.27,0.43,7.8,0.056,48,244,0.9956,3.1,0.51,9,6
72,white,6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5
73,white,6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,5
74,white,8.6,0.23,0.46,1,0.054,9,72,0.9941,2.95,0.49,9.1,6
75,white,6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8
76,white,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5
77,white,7.1,0.18,0.36,1.4,0.043,31,87,0.9898,3.26,0.37,12.7,7
78,white,7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,7
79,white,7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,5
80,white,6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,5
81,white,6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,6
82,white,7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,6
83,white,7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,5
84,white,7.3,0.22,0.3,8.2,0.047,42,207,0.9966,3.33,0.46,9.5,6
85,white,7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5
86,white,7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6
87,white,7.2,,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6
88,white,6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,6
89,white,7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5
90,white,7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6
91,white,7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6
92,white,6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,5
93,white,6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,7
94,white,6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,7
95,white,7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,7
96,white,7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,6
97,white,6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6
98,white,8.6,0.265,0.36,1.2,0.034,15,80,0.9913,2.95,0.36,11.4,7
